id,time,position_x,position_y
3,1,571,428
3,2,345,262
3,3,320,283
3,4,303,282
3,5,301,278
3,6,325,276
3,7,330,282
3,8,329,285
3,9,332,290
3,10,331,295
3,11,320,298
3,12,512,203
3,13,522,213
3,14,530,219
3,15,534,220
3,16,540,220
3,17,546,217
3,18,565,227
3,19,566,240
3,20,582,251
3,21,604,253
3,22,609,257
3,23,627,257
3,24,639,257
3,25,644,265
3,26,647,269
3,27,652,272
3,28,655,277
3,29,663,280
3,30,667,287
3,31,703,285
3,32,724,285
3,33,726,286
3,34,735,287
3,35,757,287
3,36,775,293
3,37,783,299
3,38,789,308
3,39,792,308
3,40,800,310
3,41,823,313
3,42,837,311
3,43,854,308
3,44,872,307
3,45,874,308
3,46,888,311
3,47,899,322
3,48,911,325
3,49,912,328
3,50,930,328
3,51,961,323
3,52,968,325
3,53,987,328
3,54,987,331
3,55,1021,338
3,56,1048,337
3,57,1056,335
3,58,1066,334
3,59,1092,308
3,60,1080,332
3,61,1075,334
3,62,958,480
3,63,958,482
3,64,954,485
3,65,803,518
3,66,798,523
3,67,801,523
3,68,799,520
3,69,797,519
3,70,813,519
3,71,827,522
3,72,822,527
3,73,815,528
3,74,694,404
3,75,693,407
3,76,684,409
3,77,664,401
3,78,650,388
3,79,638,387
3,80,624,385
3,81,615,412
3,82,612,416
3,83,618,545
3,84,617,548
3,85,598,570
3,86,559,588
3,87,544,588
3,88,532,581
3,89,533,570
3,90,544,568
3,91,532,578
3,92,528,592
3,93,552,611
3,94,538,612
3,95,530,603
3,96,513,584
3,97,507,582
3,98,501,581
3,99,489,575
3,100,488,574
3,101,469,573
3,102,466,573
3,103,464,577
3,104,458,577
3,105,428,569
3,106,425,567
3,107,412,555
3,108,410,552
3,109,343,278
3,110,343,277
3,111,348,277
3,112,351,279
3,113,367,279
3,114,367,280
3,115,339,287
3,116,336,289
3,117,333,275
3,118,329,262
3,119,333,257
3,120,349,255
3,121,355,259
3,122,356,261
3,123,356,267
3,124,345,270
3,125,306,259
